"Schinberg","722","Nebengipfel","Tafeljura	","CH"
"Schlüechtli","2283","Nebengipfel","Graubünden	Signinagruppe","CH"
"Schrattenfluh","2092","Hauptgipfel","Voralpen	","CH"
"Schreckhorn","4078","Hauptgipfel","Berner Alpen	","CH"
"Selun","2205","Nebengipfel","Walensee	Churfirsten","CH"
"Schwalmis","2246","Nebengipfel","Zentralschweiz	Vierwaldstättersee","CH"
"Schwarzeberg","1710","Nebengipfel","Simmental	Diemtigtal","CH"
"Sichelchamm","2269","Nebengipfel","Walensee	Alvierkette","CH"
"Sieben Hengste","1955","Nebengipfel","Emmentaler Alpen	","CH"
"Signalkuppe","4554","Nebengipfel","Wallis/Italien	Monte Rosa","CH"
"Sigriswiler Rothorn","2051","Hauptgipfel","Kanton Bern	Sigriswilergrat","CH"
"Silvrettahorn","3244","Nebengipfel","Graubünden	Rätikon","CH"
"Six Madun","2928","Hauptgipfel","Graubünden/Uri	Gotthardmassiv","CH"
"Speer","1950","Hauptgipfel","Voralpen	Walensee","CH"
"Spitzmeilen","2501","Nebengipfel","Glarner Alpen	Pizol","CH"
"Stanserhorn","1898","Hauptgipfel","Zentralschweiz	Urner Alpen","CH"
"Stockhorn","2190","Hauptgipfel","Berner Alpen	Gantrisch-Gebiet","CH"
"Sustenhorn","3503","Hauptgipfel","Urner Alpen	","CH"
"Taminser Calanda","2408","Nebengipfel","Bündner Rheintal	Calanda","CH"
"Täschhorn","4491","Nebengipfel","Walliser Alpen	Mischabel-Gruppe","CH"
"Tinzenhorn","3173","Hauptgipfel","Graubünden	Oberhalbstein","CH"
"Titlis","3238","Hauptgipfel","Zentralschweiz","CH"
"Tödi","3614","Hauptgipfel","Glarner Alpen	","CH"
"Tomlishorn","2128","Hauptgipfel","Vierwaldstättersee	Pilatus","CH"
"Tour Sallière","3220","Hauptgipfel","Walliser Alpen	","CH"
"Tschingelhörner","2849","Nebengipfel","Glarner Alpen	Sardona Tektonik-Arena","CH"
"Tweralpspitz","1332","Hauptgipfel","Voralpen	","CH"
"Uetliberg","869","Nebengipfel","Mittelland	Albiskette","CH"
"Vanil Noir","2389","Hauptgipfel","Freiburger Alpen","CH"
"Vorderglärnisch","2327","Nebengipfel","Glarner Alpen	Glärnisch","CH"
"Vrenelisgärtli","2904","Nebengipfel","Glarner Alpen	Glärnisch","CH"
"Wasenhorn","3246","Hauptgipfel","Monte Leone-Sankt Gotthard-Alpen	","CH"
"Weisshorn","4505","Hauptgipfel","Walliser Alpen	","CH"
"Weissmies","4017","Hauptgipfel","Walliser Alpen	","CH"
"Wetterhorn","3692","Nebengipfel","Berner Alpen	","CH"
"Wildhorn","3248","Hauptgipfel","	Wildhorngruppe","CH"
"Wildstrubel","3244","Hauptgipfel","	Wildstrubel","CH"
"Gross Windgällen","3187","Hauptgipfel","Uri	","CH"
"Wiriehore","2304","Nebengipfel","Simmental	Diemtigtal","CH"
"Wissberg","2627","Nebengipfel","Urner Alpen	Stotzig Berg","CH"
"Wissigstock","2847","Hauptgipfel","Urner Alpen","CH"
"Wyssi Frau","3650","Nebengipfel","Berner Alpen	Blüemlisalpgruppe","CH"
"Zervreilahorn","2898","Nebengipfel","Graubünden	","CH"
"Zinalrothorn","4221","Hauptgipfel","Walliser Alpen	","CH"
"Zindlenspitz","2097","Nebengipfel","Glarner Alpen	","CH"
"Zuestoll","2235","Nebengipfel","Walensee	Churfirsten","CH"
"Zumsteinspitze","4563","Nebengipfel","Wallis/Italien	Monte Rosa","CH"
