"Reuberg","namenlose Kuppe","328,2","Niedersachsen"
"Rehburger Berge","Brunnenberg","161,4","Niedersachsen"
"Reinhardswald","Staufenberg","472,2","Hessen"
"Reinsberge","Heydaer Berg Halskappe","605,4","Thüringen"
"Rekener Berge","Melchenberg","133,8","Nordrhein-Westfalen"
"Richelsdorfer Gebirge","Herzberg","478,2","Hessen"
"Ringgau","Rabenkuppe","514,8","Hessen, Thüringen"
"Rhön","Wasserkuppe","950,21","Bayern, Hessen, Thüringen"
"Rotenberg","Rotenberg","317,3","Niedersachsen"
"Rothaargebirge","Langenberg","843,2","Hessen, Nordrhein-Westfalen"
"Sächsische Schweiz","Großer Zschirnstein","561,74","Sachsen"
"Saalhauser Berge","Himberg","688,5","Nordrhein-Westfalen"
"Sackwald","Ahrensberg","374","Niedersachsen"
"Salzgitter-Höhenzug","Vier Berge","322,9","Niedersachsen"
"Schelderwald","Angelburg","609,4","Hessen"
"Schlierbachswald","Hundsrück","477,5","Hessen"
"Schiener Berg","namenlose Kuppe","715,6","Baden-Württemberg"
"Schmücke","Künzelsberg","380,1","Thüringen"
"Schönbuch","Bromberg","582,6","Baden-Württemberg"
"Schurwald","Kernen","513,2","Baden-Württemberg"
"Schwäbische Alb","Lemberg","1015,3","Baden-Württemberg"
"Schwarzwald","Feldberg","1493,0","Baden-Württemberg"
"Schwarzwälder Hochwald","Erbeskopf","816,32","Rheinland-Pfalz, Saarland"
"Selter","Hohe Egge","395,0","Niedersachsen"
"Seulingswald","Toter Mann ","480,3","Hessen"
"Sieben Berge","Hohe Tafel","395","Niedersachsen"
"Siebengebirge","Großer Ölberg","460,1","Nordrhein-Westfalen"
"Solling","Große Blöße","527,8","Niedersachsen"
"Söhre","Hirschberg","643,4","Hessen"
"Soonwald","Ellerspring","656,8","Rheinland-Pfalz"
"Spaargebirge","Juchhöh","191,1","Sachsen"
"Spessart","Geiersberg","586","Bayern"
"Stemweder Berg","Kollwesshöh","181,4","Nordrhein-Westfalen bzw. Niedersachsen"
"Stölzinger Gebirge","Eisberg","583,0","Hessen"
"Stromberg","Baiselsberg","476,6","Baden-Württemberg"
"Süntel","Hohe Egge","440","Niedersachsen"
"Süchtelner Höhen","namenlose Kuppe","90,7","Nordrhein-Westfalen"
"Taunus	Großer","Feldberg","881,5","Hessen, Rheinland-Pfalz"
"Teutoburger Wald","Barnacken","446,4","Nordrhein-Westfalen"
"Tharandter Wald","Tännicht","461,2","Sachsen"
"Thüringer Schiefergebirge","Großer Farmdenkopf","868,7","Thüringen"
"Thüringer Wald","Großer Beerberg","982,9","Thüringen"
"Thüster Berg","Kanstein","441","Niedersachsen"
"Ville","Glessener Höhe","205,8","Nordrhein-Westfalen"
"Virngrund","Hornberg","580,0","Baden-Württemberg"
"Vogelsberg","Taufstein","773,0","Hessen"
"Vogler","Ebersnacken","460,4","Niedersachsen"
"Vorberge","Hainberg","353,0","Niedersachsen"
"Vorholz","Knebelberg","243","Niedersachsen"
"Waldecker Wald","Weidelsberg","492,3","Hessen"
"Waldenburger Berge","Mühlberg","522,8","Baden-Württemberg"
"Welzheimer Wald","Hagberg","585,2","Baden-Württemberg"
"Weper","Balos","379","Niedersachsen"
"Westerwald","Fuchskaute","657,3","Rheinland-Pfalz"
"Weserbergland","Große Blöße","527,8","Niedersachsen"
"Wesergebirge","Möncheberg","326,1","Niedersachsen"
"Wettersteingebirge","Zugspitze","2962,06","Bayern"
"Wiehengebirge","Heidbrink","319,6","Nordrhein-Westfalen"
"Wierener Berge","Hoher Berg","136","Niedersachsen"
"Wildeshauser Geest","Hoher Berg","58,2","Niedersachsen"
"Windleite","Zimmerberg","374,4","Thüringen"
"Wingst","Silberberg","74","Niedersachsen"
"Zittauer Gebirge","Lausche","792,6","Sachsen"
"Zitterwald","Weißer Stein","693","Nordrhein-Westfalen"
